Task ID,Feature,Acceptance Criteria,Test Case,Expected Result,Actual Result,Status,Bug Found,Retest Status
CareerVoice Productionization Task 1,Deterministic audit domain and contracts,Runtime parsers and deterministic scoring/gap/readiness/role-fit functions exist and pass tests,Run direct Node test runner for careerAudit test coverage,All domain tests pass,Passed within 73-test suite via node --import tsx --test tests/*.test.ts src/ai/*.test.ts,Pass,No,Pass
CareerVoice Productionization Task 2,Supabase normalized lineage migration,Migration creates scoring/gap/recommendation/mapping tables and extends evidence/signals,Static inspection of supabase/migrations/20260821160033_career_voice_evidence_scoring.sql,Required objects are present without hardcoded generated UUIDs,"Found audit_skill_scores, audit_skill_gaps, audit_recommendations, career_voice_pathwisse_mappings, career_role_skills-derived inserts, gen_random_uuid defaults",Pass,No,Pass
CareerVoice Productionization Task 2,Supabase normalized lineage migration,Published roles have exactly one non-empty competency model,Run validation count on Supabase project pfzjbazocmgflcogjjrg,0 competency model defects,0 competency_model_defects,Pass,No,Pass
CareerVoice Productionization Task 2,Supabase normalized lineage migration,CareerVoice skills are mapped to stable Pathwisse skills/stages,Run validation count on Supabase project pfzjbazocmgflcogjjrg,0 unmapped Pathwisse lineage rows,110 unmapped_pathwisse_lineage_rows,Fail,Yes - mapping data incomplete for published role skills,Not retested after fix
CareerVoice Productionization Task 2,Supabase normalized lineage migration,Canonical v1 signals always resolve to evidence,Run validation count on Supabase project pfzjbazocmgflcogjjrg,0 canonical signal rows without evidence,0 canonical_signal_without_evidence_rows,Pass,No,Pass
CareerVoice Productionization Task 2,Supabase normalized lineage migration,Every deterministic gap resolves to score → signal → evidence,Run validation count on Supabase project pfzjbazocmgflcogjjrg,0 gap lineage defects,0 gap_lineage_defect_rows,Pass,No,Pass
CareerVoice Productionization Task 2,Supabase normalized lineage migration,Every recommendation resolves to a gap,Run validation count on Supabase project pfzjbazocmgflcogjjrg,0 recommendation rows without gap,0 recommendation_without_gap_rows,Pass,No,Pass
CareerVoice Productionization Task 3,"Server config, health, auth, sessions, evidence contract",Server config and auth/persistence contract tests pass,Run direct Node test runner including server config/auth/persistence tests,Relevant tests pass,Passed within 73-test suite; includes OTP/session/authenticatedFetch/persistSkillSignal/server config tests,Pass,No,Pass
CareerVoice Productionization Task 4,Backend-driven role fit and competency loading,Role recommendations are deterministic and competency endpoint avoids fake fallback,Run direct Node test runner for recommendation/candidate/roadmap behavior,Relevant tests pass,Passed within 73-test suite; includes universal role recommendations and unpublished role rejection,Pass,No,Pass
CareerVoice Productionization Task 5,Deterministic finalization and persisted report,Build and typecheck pass with finalization/report code present,Run npm run lint and npm run build,TypeScript check and production build pass,npm run lint passed; npm run build passed with Vite chunk-size warning only,Pass,No,Pass
CareerVoice Productionization Tasks 1-5,Batch validation,Project test suite runs in available environment,Run npm test,Expected tests pass through project script,Blocked by sandbox IPC EPERM on /tmp/tsx-0/*.pipe; equivalent direct runner passed 73/73,Blocked,Environment blocks tsx CLI IPC listener,Direct runner pass
